City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
307,Muros,ES,67.08,clear sky,42.7762,-9.0603,Apartment Av. Castelao
309,Algiers,DZ,66.02,clear sky,36.7525,3.042,Sofitel Algiers Hamma Garden
310,Belyy Yar,RU,69.85,light intensity shower rain,53.6039,91.3903,Pasportnyy Stol
311,Daoukro,CI,68.02,overcast clouds,7.0591,-3.9631,Komenan brou roseline
312,Morondava,MG,72.59,clear sky,-20.2833,44.2833,La Case Bambou
314,Keita,NE,78.31,overcast clouds,14.7551,5.7749,
317,Albany,US,73.81,scattered clouds,42.6001,-73.9662,
321,Port Hawkesbury,CA,67.12,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
323,Elat,IL,82.24,clear sky,29.5581,34.9482,Club Hotel Eilat
324,Dhankuta,NP,67.98,overcast clouds,26.9833,87.3333,Hotel Kanjirowa
327,Thinadhoo,MV,81.1,overcast clouds,0.5333,72.9333,
329,Porbandar,IN,84.18,haze,21.6422,69.6093,Lords Inn Porbandar
330,Salima,MW,65.32,few clouds,-13.7804,34.4587,YAMIKANI LODGE
331,Terre Haute,US,75.47,clear sky,39.4667,-87.4139,Drury Inn & Suites Terre Haute
336,Bridgetown,BB,82.89,few clouds,13.1,-59.6167,Hilton Barbados Resort
337,Liverpool,GB,67.95,overcast clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
339,Gandajika,CD,67.17,clear sky,-6.75,23.95,Hôtel Memorial
340,Chabahar,IR,82.99,broken clouds,25.2919,60.643,هتل گدروشیا
342,Shache,CN,83.89,overcast clouds,38.4167,77.2406,Delong Hotel
343,Lock Haven,US,74.35,overcast clouds,41.137,-77.4469,Fairfield Inn & Suites by Marriott Lock Haven
344,Bay Roberts,CA,69.55,overcast clouds,47.5999,-53.2648,Stonewall Inn
347,Los Llanos De Aridane,ES,69.12,few clouds,28.6585,-17.9182,Valle Aridane
348,Unguia,CO,74.97,overcast clouds,8.0434,-77.0945,Residencias El Golfo
353,Kozhva,RU,68.18,scattered clouds,65.1073,57.0459,Gostinicha IP Kayuda Olga Aleksandrovna
355,Nouakchott,MR,80.53,scattered clouds,18.0858,-15.9785,HOTEL IMAN
357,Cravo Norte,CO,72.63,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
358,Khuzdar,PK,80.28,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
359,Piacabucu,BR,73.17,broken clouds,-10.4056,-36.4344,Piaçabuçu News
